Simulation_ID,Event_Type,Event_Time,Event_Step
313,Lapse,4.333333333333333,52
314,Lapse,5.916666666666666,71
315,Survival,10.0,120
316,Lapse,3.1666666666666665,38
317,Lapse,3.333333333333333,40
318,Survival,10.0,120
319,Lapse,1.0,12
320,Disability,2.5,30
321,Disability,5.416666666666666,65
322,Survival,10.0,120
323,Lapse,9.333333333333332,112
324,Survival,10.0,120
325,Survival,10.0,120
326,Death,7.25,87
327,Lapse,5.583333333333333,67
328,Lapse,0.8333333333333333,10
329,Lapse,1.9166666666666665,23
330,Death,1.3333333333333333,16
331,Survival,10.0,120
332,Survival,10.0,120
333,Death,3.333333333333333,40
334,Survival,10.0,120
335,Survival,10.0,120
336,Survival,10.0,120
337,Lapse,1.3333333333333333,16
338,Disability,2.25,27
339,Lapse,8.333333333333332,100
340,Lapse,2.9166666666666665,35
341,Survival,10.0,120
342,Lapse,3.583333333333333,43
343,Survival,10.0,120
344,Death,3.4166666666666665,41
345,Lapse,1.0,12
346,Survival,10.0,120
347,Death,5.5,66
348,Survival,10.0,120
349,Lapse,4.166666666666666,50
350,Survival,10.0,120
351,Survival,10.0,120
352,Lapse,5.5,66
353,Survival,10.0,120
354,Death,9.083333333333332,109
355,Survival,10.0,120
356,Survival,10.0,120
357,Lapse,2.25,27
358,Lapse,1.25,15
359,Lapse,9.25,111
360,Survival,10.0,120
361,Survival,10.0,120
362,Survival,10.0,120
363,Survival,10.0,120
364,Survival,10.0,120
365,Survival,10.0,120
366,Lapse,8.333333333333332,100
367,Lapse,8.25,99
368,Lapse,4.166666666666666,50
369,Survival,10.0,120
370,Survival,10.0,120
371,Survival,10.0,120
372,Survival,10.0,120
373,Disability,4.416666666666666,53
374,Survival,10.0,120
375,Survival,10.0,120
376,Lapse,5.583333333333333,67
377,Survival,10.0,120
378,Survival,10.0,120
379,Death,1.75,21
380,Survival,10.0,120
381,Survival,10.0,120
382,Survival,10.0,120
383,Death,0.5833333333333333,7
384,Survival,10.0,120
385,Survival,10.0,120
386,Survival,10.0,120
387,Lapse,3.9166666666666665,47
388,Lapse,0.8333333333333333,10
389,Lapse,4.666666666666666,56
390,Survival,10.0,120
391,Survival,10.0,120
392,Death,2.5,30
393,Death,5.166666666666666,62
394,Lapse,3.583333333333333,43
395,Disability,3.9166666666666665,47
396,Lapse,1.0,12
397,Lapse,6.583333333333333,79
398,Lapse,6.583333333333333,79
399,Survival,10.0,120
400,Lapse,1.5,18
401,Lapse,8.25,99
402,Lapse,2.1666666666666665,26
403,Death,5.75,69
404,Lapse,6.833333333333333,82
405,Lapse,0.5,6
406,Lapse,4.333333333333333,52
407,Survival,10.0,120
408,Survival,10.0,120
409,Survival,10.0,120
410,Lapse,3.083333333333333,37
411,Lapse,3.083333333333333,37
