simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
158,Lapse,2.833333333333333,34,132038.73770361728,118834.86393325556,0.7971864668291995,94733.54531508067
159,Survival,10.0,120,164168.4252252081,164168.4252252081,0.44932896411722156,73765.62844719831
160,Lapse,8.666666666666666,104,62479.349319502304,56231.414387552075,0.49990693227598226,28110.47386402069
161,Survival,10.0,120,196926.70761663473,196926.70761663473,0.44932896411722156,88484.87354039744
162,Disability,0.5833333333333333,7,123384.24028160388,123384.24028160388,0.9544054797336466,117758.59503753568
163,Survival,10.0,120,153700.89182425925,153700.89182425925,0.44932896411722156,69062.26250728754
164,Lapse,0.5833333333333333,7,115379.40640612892,103841.46576551604,0.9544054797336466,99106.86395018238
165,Lapse,8.166666666666666,98,84510.12193166645,76059.10973849981,0.5203085212063069,39574.20291230705
166,Lapse,5.75,69,203100.20250151705,182790.18225136536,0.631283645506926,115392.45261451731
167,Survival,10.0,120,311721.4190895806,311721.4190895806,0.44932896411722156,140065.46233267154
168,Lapse,4.416666666666666,53,77576.34828016051,69818.71345214447,0.702343040007179,49036.68745536927
169,Survival,10.0,120,138931.37611559962,138931.37611559962,0.44932896411722156,62425.89131340248
170,Lapse,0.3333333333333333,4,108561.6269052268,97705.46421470413,0.973685749353145,95134.41813979109
171,Lapse,6.25,75,207837.57290755791,187053.81561680214,0.6065306597126334,113453.87418782429
172,Survival,10.0,120,48778.389775842494,120000.0,0.44932896411722156,53919.47569406659
173,Survival,10.0,120,169021.13817492532,169021.13817492532,0.44932896411722156,75946.09293005297
174,Lapse,2.9166666666666665,35,93603.11815827187,84242.80634244469,0.7918895663367816,66710.999381512
175,Survival,10.0,120,147517.88790993555,147517.88790993555,0.44932896411722156,66284.05976333175
176,Lapse,3.833333333333333,46,118974.965829704,107077.4692467336,0.7358958586482417,78797.86617320572
177,Survival,10.0,120,136304.65267107572,136304.65267107572,0.44932896411722156,61245.62838905213
178,Lapse,9.75,117,122087.2183928834,109878.49655359506,0.4584060113052235,50368.96333334826
179,Lapse,8.5,102,176466.1332286638,158819.5199057974,0.5066169923655895,80460.66750362197
180,Survival,10.0,120,213180.27729324505,213180.27729324505,0.44932896411722156,95788.07316639584
181,Survival,10.0,120,561614.0546157858,561614.0546157858,0.44932896411722156,252349.46139418375
